sent0,sent1,labels
He poured coffee into pizza.,He poured coffee into his cup.,1
she went to library to watch a movie.,she went to library to read the books.,1
Water in solid form is liquid.,Water in solid form is ice.,1
An ant is smaller then an atom.,An ant is smaller then a horse.,1
You would apply for volunteer work because you want money,You would apply for a job because you want money,1
Driver of a bus usually sits in the rearmost seat,You will find the driver of a bus in the front seat,1
The cat wants to go through the door.,The fridge wants to go through the door.,0
He went to blood bank to eat food,he went to blood bank to donate blood,1
He was travelling to office in his cooker,He was travelling to office in his bike,1
Cyclists ride a zebra in a competition,Cyclists ride a bike in a competition,1
The pilot was flying the plane,The pilot was flying the bike,0
she put a giraffe in the fridge.,he put an apple in the fridge,1
A car needs four wheels and a blender in order for it to be standard.,A car needs four wheels and an engine in order for it to be standard.,1
The newly married couple gave birth to a dog,The newly married couple gave birth to a boy baby,1
The President Ordered the Military to Attack,The Military ordered the President to Attack,0
a man drink beer in a hospital,a man drink beer in a bar,1
They were playing football in the ground,They were playing football in the fridge,0
My nose is stuffed with ham.,My nose is stuffed with boogers.,1
She washes her hair everyday with a mild shampoo,She washes her hair everyday with a mild hair oil,0
She drank air from her water-bottle,She drank water from her water-bottle,1
"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants.","Since my friend is a recovering  alcoholic, she only drinks wine at restaurants.",0
He went to theater to watch movie,He went to helmet to watch movie,0
He made real contact lenses with match sticks,He made a model plane with match sticks,1
The kitten ran through the sun.,The kitten ran through the bushes.,1
Gunpowder can burn for hours,A candle can burn for hours.,1
she put a ice cream into the fridge,she put a crocodile into the fridge,0
"Stacey wanted to have some fun, so she went to church","Stacey wanted to have some fun, so she went out to the club",1
Weapons are used in marriage,Weapons are used in war,1
Tom went to the job interview because he wanted money,Tom went to the job interview because he wanted soup,0
he withdrew pen from the bank,he withdrew cash from the bank,1
I will be at the club tomorrow for my antenatal.,I will be at the hospital tomorrow for my antenatal.,1
He deposited money in the bank,He deposited money in the restaurant,0
My wall is African American.,My wall is white.,1
A library contains tons of bookshelves,A library contains tons of drinks,0
the guy won in the election,The lion won in the election,0
Dogs like eating vegetables,Dogs like eating sausages,1
She drove her car around the supermarket to collect groceries,She pushed her trolley around the supermarket to collect groceries,1
He wrote a letter to his wife on a stove,He wrote a letter to his wife on a paper,1
He wrote in a paper with a pen,He used an eraser to write in a paper,0
She killed a deer when she went hunting.,She killed an octopus when she went hunting.,0
You find wood in tears,You find water in tears,1
I buy milk and put it in the fridge.,I buy paper towels and put them in the fridge.,0
A flamingo is a type of bird,A lion is a type of bird,0
He was playing games on his computer,He was playing games on his headphones,0
A weightlifter must life weights to qualify as a weightlifter.,Weightlifters do not use weights when lifting.,0
birds can fly long distances,Chickens can fly long distances,0
We turn the AC on to cool ourselves down.,We turn the AC on because we like to push buttons.,0
He mowed the lawn in the morning.,He mowed the car in the morning.,0
She put an Indian in the oven.,She put a pie in the oven.,1
She kicked the ball down the street.,The street kicked the ball down.,0
The waiter brought a silver spoon to eat.,The waiter brought a  roasted chicken to eat.,1
He used warm clothing for skying,He used warm clothing for sunbathing,0
The dog was running in the sky,The dog was running,1
My cat is as big as elephant.,My cat is lovely.,1
Hybrid cars pollute a lot in the city,Hybrid cars pollute little in the city,1
Apples grow on trees.,Corn grows on trees.,0
She have wolf pet named muffin,She have cat pet named muffin,1
A total of 2000 students enrolled into the University of Portsmouth this year.,A total of 2000 Lions enrolled into the University of Portsmouth this year.,0
It is tuna day.,It is Friday today.,1
He went to the super market to buy parents,He went to the super market to buy groceries,1
I looked into the mirror.,I went inside the mirror.,0
He watch television daily,Television watch him daily,0
Cats are commonly kept as dogs.,Cats are commonly kept as pets.,1
A hot mug of coffee is a great way to go to sleep.,A hot mug of coffee is a great way to start the day.,1
The girl rides the dog.,The girl walks the dog .,1
Cockroaches are white insects,Cockroaches are black insects,1
If you want to go to shopping then you should go to a shopping mall,If you want to go to shopping then you should go to a police station,0
the first thing people usually do in the morning is eating a pot roast,The first thing people usually do in the morning is eating breakfast,1
He needs to close his eyes to stop talking.,He needs to close his mouth to stop talking.,1
My friend brushed her hair with a brush.,My friend brushed her hair with a knife.,0
The girl has severe blue skin in public.,The girl has severe anxiety in public.,1
Senators serve drinks to thirsty customers.,Bartenders serve drinks to thirsty customers.,1
The grass is green when it rains.,The grass is purple when it rains.,0
The little boy ate the tree.,The little boy climbed the tree.,1
I have a flying car.,I have a car.,1
A car key is needed to power on the car,A snow scraper is needed to power on the car,0
He kept a cow on the shelf,He kept a book on the shelf,1
To cook pasta you need poison.,"To cook pasta you need a pot, water and a stove.",1
There was a horse hissing at a snake.,There was a snake hissing at a horse.,1
There are never any Sundays in July,There are seven days in a week.,1
You can learn to speak many languages if you practice daily.,You can put beans in a can if you squash them at night.,0
If you want to get something then you should buy it.,If you want to give something you should destroy it.,0
Sometimes drinking alcohol causes accidents,Sometimes drinking alcohol helps concentrate in driving,0
Boo is what a ghost says on labor day.,Boo is what a ghost says on halloween.,1
lungs are in the head,brain is in the head,1
Water contains alcohol,Beer contains alcohol,1
You can find pen and paper at the office.,You can find pen and paper in the bathroom.,0
"Oranges are round, juicy, and sweet.","Oranges are purple, dry and sweet.",0
He opened the door with key,He opened the door with pen,0
I saw a baby carrying a man.,I saw a man carrying a baby.,1
He is driving the tree,He is driving the car,1
money is cultivated in fields,paddy is cultivated in fields,1
He ate a large hamburger,He ate a large knife,0
she collected stones to build a bonfire,she collected woods to build a bonfire,1
